Filename,BRISQUE Score
diastole1936.png,10.9
diastole1937.png,-5.28
diastole1938.png,7.93
diastole1939.png,-6.82
diastole194.png,7.02
diastole1940.png,12.9
diastole1941.png,-9.83
diastole1943.png,-0.13
diastole1942.png,2.64
diastole1944.png,-6.05
diastole1945.png,19.96
diastole1946.png,-5.59
diastole1947.png,13.12
diastole1948.png,26.53
diastole1949.png,13.05
diastole195.png,-19.84
diastole1950.png,6.09
diastole1951.png,13.54
diastole1952.png,6.78
diastole1953.png,25.82
diastole1954.png,12.25
diastole1955.png,-1.17
diastole1956.png,3.02
diastole1957.png,6.08
diastole1958.png,0.74
diastole1959.png,2.91
diastole196.png,4.6
diastole1960.png,3.58
diastole1961.png,10.79
diastole1962.png,11.4
diastole1963.png,5.03
diastole1964.png,9.24
diastole1965.png,20.94
diastole1966.png,15.05
diastole1967.png,12.58
diastole1968.png,12.71
diastole1969.png,13.87
diastole197.png,23.43
diastole1970.png,10.35
diastole1971.png,-16.03
diastole1972.png,16.86
diastole1973.png,7.94
diastole1974.png,-12.2
diastole1975.png,11.29
diastole1976.png,16.74
diastole1978.png,28.03
diastole1977.png,5.72
diastole1979.png,-0.78
diastole198.png,-7.47
diastole1980.png,10.7
diastole1981.png,-1.22
diastole1982.png,18.36
diastole1983.png,21.41
diastole1984.png,21.72
diastole1985.png,6.34
diastole1986.png,-1.94
diastole1987.png,13.96
diastole1988.png,8.14
diastole1989.png,12.71
diastole1990.png,3.79
diastole199.png,8.99
diastole1991.png,21.57
diastole1992.png,7.41
diastole1993.png,18.26
diastole1994.png,15.82
diastole1995.png,-1.96
diastole1996.png,2.82
diastole1997.png,18.95
diastole1998.png,3.73
diastole2.png,9.85
diastole1999.png,7.0
diastole20.png,-14.59
diastole200.png,14.93
diastole2000.png,2.19
diastole2001.png,1.24
diastole2002.png,23.9
diastole2003.png,-16.15
